id,url,status,content_type,ok,reason
generac-guardian-26kw,"https://www.generac.com/globalassets/products/residential/standby-generators/spec-sheets/g007290-g007291-26kw-guardian-res-standby-generator-specsheet.pdf",200,"application/pdf",true,""
tesla-powerwall-2,"https://energylibrary.tesla.com/docs/Public/EnergyStorage/Powerwall/2/Datasheet/en-us/Powerwall-2-Datasheet.pdf",200,"application/pdf",true,""
generac-rxsw100a3,"https://www.generac.com/globalassets/products/residential/standby-generator-transfer-switches/automatic-transfer-switches/spec-sheets/rxsc100a3-200a3_rxsw100a3-150a3-200a3_specsheet.pdf",200,"application/pdf",true,""
unirac-solarmount,"https://www.unirac.com/document/solarmount-product-brochure/",200,"application/pdf",true,""
enphase-iq-sc3-ats,"https://enphase.com/download/iq-system-controller-3m-data-sheet",200,"application/pdf",true,""
generac-pwrmanager,"https://www.generac.com/globalassets/residential/dealers--installers/generac-installer-programs/solar--battery-installer-support/pwrmanager-install-manual.pdf",200,"application/pdf",true,""
generac-rtsw200a3,"https://www.generac.com/globalassets/products/residential/standby-generator-transfer-switches/automatic-transfer-switches/owners-manual/100-200a-automatic-transfer-switch-owners-manual.pdf",200,"application/pdf",true,""
solaredge-home-hub-7600,"https://krannich-solar.com/fileadmin/user_upload/US/Datasheets/Inverters/SolarEdge/se-home-hub-inverter-single-phase-inverter-made-in-usa-datasheet-nam.pdf",200,"application/pdf",true,""
enphase-iq-system-controller-3,"https://enphase.com/download/iq-system-controller-3m-data-sheet",200,"application/pdf",true,""
solaredge-home-hub-10000,"https://krannich-solar.com/fileadmin/user_upload/US/Datasheets/Inverters/SolarEdge/se-home-hub-inverter-single-phase-inverter-made-in-usa-datasheet-nam.pdf",200,"application/pdf",true,""
ironridge-xr100,"https://ironridge.com/roof-mount/xr-rail/",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
tesla-backup-gateway-2,"https://energylibrary.tesla.com/docs/Public/EnergyStorage/Powerwall/2/InstallManual/BackupGateway/2/en-us/GUID-C93D57B7-CA13-4E04-9449-1EAB073A485B.html",200,"text/html;charset=UTF-8",true,"HTML response (product page?)"
enphase-iq-gateway,"https://enphase.com/sites/default/files/2021-07/IQ-Envoy-DS-EN-US-06-30-2021.pdf",200,"application/pdf",true,""
apsystems-ecu-r,"https://global.apsystems.com/wp-content/uploads/2022/09/APsystems-Energy-Communication-Unit-ECU-R-datasheet_Rev3.4_2022-08-30.pdf",200,"application/pdf",true,""
tesla-wall-connector-gen3,"https://nwsolar.com/wp-content/uploads/2022/10/Tesla_Wall_Connector_Datasheet_EN-NA.pdf",200,"application/pdf",true,""
enphase-iq-combiner-5,"https://enphase.com/download/iq-combiner-5-data-sheet",200,"application/pdf",true,""
hoymiles-dtu-pro-s,"https://www.solar-electric.com/lib/wind-sun/Hoymiles_Datasheet_DTU-Pro-S.pdf",200,"application/pdf",true,""
generac-pwrcell-inverter-7600,"https://www.generac.com/globalassets/residential/dealers--installers/generac-installer-programs/solar--battery-installer-support/a0000909057_pwrcell_inverter-1phase_ss_revg_eng-spa_digital.pdf",200,"application/pdf",true,""
enphase-iq-ev-charger,"https://enphase.com/download/iq-ev-charger-2-data-sheet",200,"application/pdf",true,""
esdec-flatfix,"https://esdec.com/products/flatfix-fusion/",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
